outcome,combo,n,oof_r2,oof_rmse
ihp_flood,M,83360,0.00999249812690517,1.1774889453782948
ihp_flood,H,83360,0.08729342363275794,1.1305849127688252
ihp_flood,E,83360,-0.0698475881109375,1.2240482906068733
ihp_flood,M+H,83360,0.09534167670890548,1.1255891222560475
ihp_flood,M+E,83360,-0.01451994876384366,1.1919770434805248
ihp_flood,H+E,83360,0.10859561131721518,1.1173133290603328
ihp_flood,M+H+E,83360,0.11372844054639986,1.1140918629445584
claims,M,83360,0.2894283425209222,0.9333310525593835
claims,H,83360,0.2983664771290292,0.9274423862843434
claims,E,83360,0.009597012906424118,1.1018887414734668
claims,M+H,83360,0.3989063693345155,0.8584259504176218
claims,M+E,83360,0.3025190973433881,0.9246937779955197
claims,H+E,83360,0.31486753378040566,0.9164716789870182
claims,M+H+E,83360,0.4085773672571388,0.8514923392634817
uptake,M,83360,0.4096082642726494,1.3133852001752395
uptake,H,83360,0.3697369032537149,1.3570096087559274
uptake,E,83360,0.03454653263169449,1.679529578372005
uptake,M+H,83360,0.5377821487116217,1.1621049217128125
uptake,M+E,83360,0.4185046905755526,1.3034521455683914
uptake,H+E,83360,0.41438011447381695,1.3080667037170253
uptake,M+H+E,83360,0.5534749902421345,1.1422071584593692
